$1000 Damage to Any One Person's Property,Active School Zone Flag,At Intersection Flag,Average Daily Traffic Amount,Construction Zone Flag,Crash Severity,Crash Time,Crash Total Injury Count,Crash Year,Day of Week,Intersection Related,Roadway Part,Speed Limit,Surface Condition,Traffic Control Type,Person Helmet
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,524,1,2011,Tuesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2303,1,2011,Tuesday,Non Intersection,Main/Proper Lane,0,Dry,None,Not Worn
Yes,No,TRUE,4300,No,Non-Incapacitating Injury,1749,1,2011,Wednesday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1916,1,2011,Thursday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,237,1,2011,Thursday,Non Intersection,Main/Proper Lane,45,Dry,Marked Lanes,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,818,1,2011,Friday,Intersection Related,Main/Proper Lane,30,Dry,None,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1100,1,2011,Friday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,1245,1,2011,Saturday,Intersection Related,Main/Proper Lane,0,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1331,3,2011,Saturday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,1824,1,2011,Monday,Intersection,Main/Proper Lane,35,Dry,Bike Lane,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Incapacitating Injury,1825,1,2011,Tuesday,Intersection,Other (Explain In Narrative),40,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,1645,1,2011,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1812,1,2011,Tuesday,Intersection,Main/Proper Lane,40,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1000,1,2011,Wednesday,Non Intersection,Other (Explain In Narrative),0,Dry,Other (Explain In Narrative),Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,758,1,2011,Wednesday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Incapacitating Injury,654,3,2011,Wednesday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2038,1,2011,Thursday,Driveway Access,Main/Proper Lane,0,Dry,None,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,2217,1,2011,Thursday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1505,1,2011,Thursday,Driveway Access,Main/Proper Lane,35,Dry,None,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,829,1,2011,Friday,Driveway Access,Main/Proper Lane,60,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1715,1,2011,Friday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Unknown If Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1624,2,2011,Sunday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
Yes,No,TRUE,No Data,No,Possible Injury,840,1,2011,Monday,Intersection Related,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1717,1,2011,Monday,Driveway Access,Main/Proper Lane,30,Dry,Bike Lane,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1208,1,2011,Tuesday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1329,1,2011,Thursday,Non Intersection,Service/Frontage Road,55,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1200,1,2011,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1756,1,2011,Friday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
Yes,No,TRUE,21351,No,Possible Injury,2250,1,2011,Monday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1735,2,2011,Monday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1828,1,2011,Thursday,Driveway Access,Main/Proper Lane,30,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1713,1,2011,Thursday,Driveway Access,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2151,1,2011,Thursday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,33647,No,Non-Incapacitating Injury,2147,1,2011,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Crosswalk,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1553,1,2011,Friday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1521,1,2011,Monday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,938,1,2011,Tuesday,Driveway Access,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1100,1,2011,Wednesday,Intersection Related,Main/Proper Lane,35,Unknown,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1552,1,2011,Monday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1814,1,2011,Monday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1822,1,2011,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1758,1,2011,Wednesday,Intersection Related,Main/Proper Lane,35,Dry,Other (Explain In Narrative),"Worn, Not Damaged"
No,No,TRUE,No Data,No,Not Injured,1834,0,2011,Friday,Intersection,Main/Proper Lane,45,Dry,Signal Light,"Worn, Unk Damage"
No,No,FALSE,No Data,No,Possible Injury,1203,1,2011,Saturday,Driveway Access,Main/Proper Lane,45,Wet,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1758,1,2011,Monday,Intersection,Main/Proper Lane,40,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Possible Injury,733,1,2011,Tuesday,Intersection,Main/Proper Lane,40,Dry,Marked Lanes,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Incapacitating Injury,811,1,2011,Tuesday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1714,1,2011,Tuesday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2252,1,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Dry,Center Stripe/Divider,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2022,1,2011,Wednesday,Intersection Related,Main/Proper Lane,35,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Possible Injury,1824,1,2011,Wednesday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Possible Injury,810,1,2011,Wednesday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,345,1,2011,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Yield Sign,Not Worn
No,No,TRUE,No Data,No,Not Injured,347,0,2011,Sunday,Intersection,Main/Proper Lane,35,Wet,Stop Sign,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1600,1,2011,Thursday,Intersection,Main/Proper Lane,0,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1757,1,2011,Monday,Intersection,Main/Proper Lane,0,Dry,Stop Sign,"Worn, Not Damaged"
Yes,No,TRUE,123443,No,Not Injured,1822,0,2011,Monday,Intersection,Service/Frontage Road,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1506,1,2011,Wednesday,Non Intersection,Main/Proper Lane,35,Dry,Bike Lane,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,721,1,2011,Thursday,Intersection,Main/Proper Lane,30,Wet,Stop Sign,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1950,1,2011,Friday,Non Intersection,Main/Proper Lane,0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,2315,1,2011,Wednesday,Intersection Related,Main/Proper Lane,35,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Not Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
Yes,No,FALSE,No Data,No,Incapacitating Injury,1830,15,2011,Wednesday,Non Intersection,Main/Proper Lane,30,Wet,None,Unknown If Worn
No,No,TRUE,164391,No,Non-Incapacitating Injury,2332,1,2011,Thursday,Intersection,Service/Frontage Road,40,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Not Injured,1832,0,2011,Thursday,Non Intersection,Other (Explain In Narrative),35,Dry,None,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1547,1,2011,Friday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Damaged"
No,No,TRUE,33647,Yes,Possible Injury,1351,1,2011,Saturday,Intersection,Main/Proper Lane,40,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1511,1,2012,Sunday,Intersection,Main/Proper Lane,30,Dry,None,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1457,1,2012,Monday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1822,1,2012,Wednesday,Intersection,Main/Proper Lane,30,Dry,None,"Worn, Unk Damage"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,808,1,2012,Wednesday,Intersection,Main/Proper Lane,30,Dry,Bike Lane,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1749,1,2012,Friday,Non Intersection,Main/Proper Lane,30,Wet,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1349,1,2012,Saturday,Non Intersection,Main/Proper Lane,10,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1459,1,2012,Sunday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,123443,No,Possible Injury,1540,1,2012,Monday,Driveway Access,Main/Proper Lane,0,Wet,None,"Worn, Unk Damage"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1728,1,2012,Tuesday,Intersection,Main/Proper Lane,0,Dry,None,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1717,1,2012,Wednesday,Intersection Related,Main/Proper Lane,40,Dry,Stop Sign,Not Worn
No,No,TRUE,29304,No,Not Injured,1419,0,2012,Thursday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Not Injured,1551,0,2012,Friday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1650,1,2012,Tuesday,Non Intersection,Main/Proper Lane,40,Dry,Marked Lanes,"Worn, Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1647,1,2012,Tuesday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1644,1,2012,Wednesday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1100,1,2012,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,TRUE,118604,No,Not Injured,1028,0,2012,Thursday,Intersection,Service/Frontage Road,40,Dry,Stop Sign,Not Worn
No,No,TRUE,118604,No,Not Injured,1028,0,2012,Thursday,Intersection,Service/Frontage Road,40,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2358,1,2012,Friday,Intersection Related,Main/Proper Lane,0,Dry,Stop Sign,Not Worn
No,No,TRUE,15613,No,Non-Incapacitating Injury,935,1,2012,Sunday,Intersection,Main/Proper Lane,65,Dry,Yield Sign,"Worn, Damaged"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1651,1,2012,Sunday,Driveway Access,Main/Proper Lane,35,Dry,None,Not Worn
Yes,No,FALSE,118676,No,Killed,2226,0,2012,Monday,Non Intersection,Service/Frontage Road,50,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1235,1,2012,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1818,1,2012,Friday,Driveway Access,Main/Proper Lane,0,Dry,Center Stripe/Divider,Unknown If Worn
Yes,No,FALSE,23804,No,Non-Incapacitating Injury,825,1,2012,Thursday,Driveway Access,Main/Proper Lane,40,Dry,Center Stripe/Divider,"Worn, Not Damaged"
No,No,TRUE,15262,No,Non-Incapacitating Injury,1707,1,2012,Friday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1649,1,2012,Friday,Intersection Related,Main/Proper Lane,0,Dry,Stop Sign,Not Worn
Yes,No,TRUE,No Data,Yes,Possible Injury,1418,1,2012,Saturday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1617,1,2012,Saturday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1515,1,2012,Tuesday,Non Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Incapacitating Injury,1128,1,2012,Tuesday,Intersection Related,Main/Proper Lane,45,Dry,Signal Light,Unknown If Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1542,1,2012,Tuesday,Intersection,Main/Proper Lane,0,Dry,Marked Lanes,Not Worn
No,No,TRUE,115456,No,Non-Incapacitating Injury,2113,1,2012,Thursday,Intersection,Service/Frontage Road,50,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Possible Injury,1649,1,2012,Friday,Intersection,Main/Proper Lane,30,Dry,None,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1302,1,2012,Monday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1521,1,2012,Tuesday,Intersection Related,Main/Proper Lane,30,Dry,Bike Lane,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Non-Incapacitating Injury,917,1,2012,Wednesday,Intersection Related,Main/Proper Lane,30,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1600,1,2012,Thursday,Driveway Access,Main/Proper Lane,0,Dry,Bike Lane,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Possible Injury,1322,1,2012,Friday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,FALSE,41709,No,Non-Incapacitating Injury,1330,1,2012,Sunday,Driveway Access,Main/Proper Lane,60,Dry,Marked Lanes,"Worn, Not Damaged"
No,No,TRUE,22613,No,Non-Incapacitating Injury,1906,1,2012,Monday,Intersection Related,Main/Proper Lane,0,Dry,Crosswalk,Not Worn
No,No,TRUE,No Data,No,Possible Injury,2132,1,2012,Tuesday,Intersection Related,Main/Proper Lane,40,Dry,Signal Light,Not Worn
No,Yes,FALSE,No Data,No,Non-Incapacitating Injury,806,1,2012,Tuesday,Driveway Access,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1732,1,2012,Wednesday,Intersection Related,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1939,1,2012,Wednesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,217,1,2012,Wednesday,Intersection,Main/Proper Lane,0,Wet,Signal Light,Not Worn
No,No,TRUE,34215,No,Non-Incapacitating Injury,1734,1,2012,Saturday,Intersection,Main/Proper Lane,40,Dry,Signal Light,"Worn, Unk Damage"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1904,1,2012,Wednesday,Driveway Access,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1948,1,2012,Wednesday,Intersection,Main/Proper Lane,25,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,656,1,2012,Wednesday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2200,1,2012,Friday,Intersection Related,Main/Proper Lane,30,Dry,None,Not Worn
Yes,No,TRUE,162940,No,Non-Incapacitating Injury,1315,1,2012,Friday,Intersection Related,Service/Frontage Road,0,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Possible Injury,19,1,2012,Saturday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,225,1,2012,Saturday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1739,1,2012,Saturday,Non Intersection,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,35009,No,Possible Injury,839,1,2012,Sunday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1313,1,2012,Monday,Intersection Related,Other (Explain In Narrative),30,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,846,1,2012,Thursday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Possible Injury,1905,2,2012,Thursday,Driveway Access,Service/Frontage Road,0,Unknown,None,Not Worn
Yes,No,FALSE,No Data,No,Possible Injury,1905,2,2012,Thursday,Driveway Access,Service/Frontage Road,0,Unknown,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,400,1,2012,Friday,Non Intersection,Other (Explain In Narrative),30,Wet,Bike Lane,"Worn, Not Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1711,1,2012,Friday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1317,1,2012,Friday,Intersection Related,Main/Proper Lane,0,Dry,Crosswalk,Not Worn
Yes,No,TRUE,34215,No,Non-Incapacitating Injury,1146,1,2012,Saturday,Intersection,Main/Proper Lane,40,Dry,Bike Lane,Unknown If Worn
No,No,TRUE,No Data,No,Not Injured,1404,0,2012,Wednesday,Intersection,Main/Proper Lane,30,Dry,Signal Light,Not Worn
Yes,No,TRUE,20895,No,Non-Incapacitating Injury,1819,1,2012,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,2013,1,2012,Friday,Driveway Access,Service/Frontage Road,50,Dry,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1435,1,2012,Friday,Driveway Access,Main/Proper Lane,30,Dry,None,Not Worn
No,No,TRUE,No Data,No,Possible Injury,1814,1,2012,Sunday,Intersection Related,Main/Proper Lane,35,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,TRUE,197636,Yes,Not Injured,1419,0,2012,Monday,Intersection Related,Service/Frontage Road,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1511,1,2012,Tuesday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,2151,1,2012,Wednesday,Non Intersection,Main/Proper Lane,0,Wet,None,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1212,1,2012,Thursday,Non Intersection,Other (Explain In Narrative),30,Dry,None,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,752,1,2012,Thursday,Driveway Access,Other (Explain In Narrative),0,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,920,1,2012,Thursday,Driveway Access,Other (Explain In Narrative),35,Dry,Marked Lanes,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,2314,1,2012,Friday,Intersection,Main/Proper Lane,35,Dry,Stop Sign,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1957,1,2012,Saturday,Intersection,Main/Proper Lane,30,Dry,Marked Lanes,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,1216,1,2012,Sunday,Driveway Access,Main/Proper Lane,45,Unknown,Bike Lane,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1647,1,2012,Monday,Driveway Access,Main/Proper Lane,0,Dry,Marked Lanes,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1533,1,2012,Monday,Non Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1209,1,2012,Monday,Non Intersection,Main/Proper Lane,35,Dry,Bike Lane,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1707,1,2012,Tuesday,Driveway Access,Main/Proper Lane,30,Dry,None,Unknown If Worn
No,No,FALSE,41709,No,Non-Incapacitating Injury,1743,1,2012,Wednesday,Driveway Access,Main/Proper Lane,60,Dry,None,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Incapacitating Injury,1823,1,2012,Wednesday,Non Intersection,Other (Explain In Narrative),0,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,705,1,2012,Thursday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,"Worn, Not Damaged"
No,No,FALSE,No Data,No,Incapacitating Injury,216,1,2012,Thursday,Non Intersection,Main/Proper Lane,40,Dry,Marked Lanes,Unknown If Worn
Yes,No,TRUE,No Data,No,Not Injured,2229,0,2012,Thursday,Intersection,Main/Proper Lane,35,Dry,Signal Light,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1617,1,2012,Thursday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1733,1,2012,Friday,Driveway Access,Main/Proper Lane,35,Dry,None,"Worn, Damaged"
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1235,1,2012,Friday,Intersection,Main/Proper Lane,40,Dry,Signal Light,Not Worn
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,2130,1,2012,Saturday,Driveway Access,Main/Proper Lane,45,Dry,None,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1339,1,2012,Saturday,Intersection,Main/Proper Lane,0,Dry,Signal Light,Not Worn
No,No,TRUE,No Data,No,Non-Incapacitating Injury,1748,1,2012,Saturday,Intersection,Main/Proper Lane,0,Dry,Signal Light,"Worn, Not Damaged"
Yes,No,FALSE,No Data,No,Non-Incapacitating Injury,202,1,2012,Saturday,Non Intersection,Main/Proper Lane,35,Dry,Flashing Yellow Light,"Worn, Not Damaged"
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1823,3,2012,Sunday,Intersection,Main/Proper Lane,30,Dry,Yield Sign,Not Worn
Yes,No,TRUE,No Data,No,Non-Incapacitating Injury,1155,1,2012,Monday,Intersection,Main/Proper Lane,30,Dry,Stop Sign,Not Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1050,1,2012,Tuesday,Non Intersection,Main/Proper Lane,30,Dry,None,"Worn, Damaged"
No,No,FALSE,No Data,No,Possible Injury,920,1,2012,Tuesday,Non Intersection,Main/Proper Lane,35,Dry,Marked Lanes,Unknown If Worn
No,No,FALSE,No Data,No,Incapacitating Injury,250,1,2012,Saturday,Non Intersection,Main/Proper Lane,0,Dry,None,Not Worn
No,No,FALSE,No Data,No,Possible Injury,1637,1,2012,Saturday,Non Intersection,Main/Proper Lane,25,Dry,None,Unknown If Worn
No,No,FALSE,No Data,No,Non-Incapacitating Injury,1252,1,2012,Tuesday,Non Intersection,Main/Proper Lane,45,Dry,Center Stripe/Divider,"Worn, Not Damaged"
No,No,FALSE,34215,No,Non-Incapacitating Injury,1039,1,2012,Thursday,Driveway Access,Main/Proper Lane,35,Dry,None,Not Worn
